schema_version,submission_id,cohort_id,cohort_version,case_id,sample_id,sample_version,packet_id,packet_hash,source_language,task_layer,codebook_version,coder_id,coder_role,qualification_attested,source_language_qualified,training_version,training_completed_at,calibration_id,calibration_completed_at,conflict_status,conflict_details,independence_attested,ai_assistance_used,completed_at,item_id,document_id,sentence_id,source_span_id,disposition,confidence,uncertainty,uncertainty_note,out_of_scope_reason,notes,case_fields,lexical_unit_ids,source_domain_primary,source_domain_secondary,target_domain,conceptual_mapping,entailments,cluster_id,rival_reading
1.0.0,,,,lincoln,lincoln-human-cmt-launch,1.0.0,lincoln-human-cmt-launch-1.0.0-cmt,,en,cmt,human-cmt-codebook-v1.0.0,,primary,,,,,,,,,,,,lincoln-human-cmt-launch:lincoln-ann-003,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,lincoln-ann-003,,,,,,,,"[""lincoln-lyceum-address_s01_p04_s06_lu023"",""lincoln-lyceum-address_s01_p04_s06_lu032"",""lincoln-lyceum-address_s01_p04_s06_lu043"",""lincoln-lyceum-address_s01_p04_s06_lu047"",""lincoln-lyceum-address_s01_p04_s06_lu056"",""lincoln-lyceum-address_s01_p04_s06_lu063""]",,,,,,,
1.0.0,,,,lincoln,lincoln-human-cmt-launch,1.0.0,lincoln-human-cmt-launch-1.0.0-cmt,,en,cmt,human-cmt-codebook-v1.0.0,,primary,,,,,,,,,,,,lincoln-human-cmt-launch:lincoln-ann-016,lincoln-lyceum-address,lincoln-lyceum-address_s01_p11_s15,lincoln-ann-016,,,,,,,,"[""lincoln-lyceum-address_s01_p11_s15_lu026"",""lincoln-lyceum-address_s01_p11_s15_lu028""]",,,,,,,
1.0.0,,,,lincoln,lincoln-human-cmt-launch,1.0.0,lincoln-human-cmt-launch-1.0.0-cmt,,en,cmt,human-cmt-codebook-v1.0.0,,primary,,,,,,,,,,,,lincoln-human-cmt-launch:lincoln-ann-017,lincoln-lyceum-address,lincoln-lyceum-address_s01_p12_s01,lincoln-ann-017,,,,,,,,"[""lincoln-lyceum-address_s01_p12_s01_lu025""]",,,,,,,
1.0.0,,,,lincoln,lincoln-human-cmt-launch,1.0.0,lincoln-human-cmt-launch-1.0.0-cmt,,en,cmt,human-cmt-codebook-v1.0.0,,primary,,,,,,,,,,,,lincoln-human-cmt-launch:lincoln-ann-043,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,lincoln-ann-043,,,,,,,,"[""lincoln-lyceum-address_s01_p24_s05_lu022"",""lincoln-lyceum-address_s01_p24_s05_lu023"",""lincoln-lyceum-address_s01_p24_s05_lu030"",""lincoln-lyceum-address_s01_p24_s05_lu032"",""lincoln-lyceum-address_s01_p24_s05_lu033"",""lincoln-lyceum-address_s01_p24_s05_lu036"",""lincoln-lyceum-address_s01_p24_s05_lu060"",""lincoln-lyceum-address_s01_p24_s05_lu065""]",,,,,,,
1.0.0,,,,lincoln,lincoln-human-cmt-launch,1.0.0,lincoln-human-cmt-launch-1.0.0-cmt,,en,cmt,human-cmt-codebook-v1.0.0,,primary,,,,,,,,,,,,lincoln-human-cmt-launch:lincoln-ann-051,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p01_s01,lincoln-ann-051,,,,,,,,"[""lincoln-gettysburg-address_s01_p01_s01_lu009"",""lincoln-gettysburg-address_s01_p01_s01_lu010"",""lincoln-gettysburg-address_s01_p01_s01_lu017"",""lincoln-gettysburg-address_s01_p01_s01_lu021""]",,,,,,,
1.0.0,,,,lincoln,lincoln-human-cmt-launch,1.0.0,lincoln-human-cmt-launch-1.0.0-cmt,,en,cmt,human-cmt-codebook-v1.0.0,,primary,,,,,,,,,,,,lincoln-human-cmt-launch:lincoln-ann-054,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p04_s03,lincoln-ann-054,,,,,,,,"[""lincoln-gettysburg-address_s01_p04_s03_lu002"",""lincoln-gettysburg-address_s01_p04_s03_lu005"",""lincoln-gettysburg-address_s01_p04_s03_lu008"",""lincoln-gettysburg-address_s01_p04_s03_lu017""]",,,,,,,
1.0.0,,,,lincoln,lincoln-human-cmt-launch,1.0.0,lincoln-human-cmt-launch-1.0.0-cmt,,en,cmt,human-cmt-codebook-v1.0.0,,primary,,,,,,,,,,,,lincoln-human-cmt-launch:lincoln-ann-064,lincoln-second-inaugural,lincoln-second-inaugural_s01_p06_s01,lincoln-ann-064,,,,,,,,"[""lincoln-second-inaugural_s01_p06_s01_lu034"",""lincoln-second-inaugural_s01_p06_s01_lu038"",""lincoln-second-inaugural_s01_p06_s01_lu063""]",,,,,,,
