average_confidence,cluster_id,document_count,high_salience_count,mapping_count,mapping_ids,periods,registers
0.817,am-rev-01-liberty-tyranny,2,9,12,amrev-cmt-001;amrev-cmt-005;amrev-cmt-010;amrev-cmt-012;amrev-cmt-017;amrev-cmt-018;amrev-cmt-025;amrev-cmt-026;amrev-cmt-029;amrev-cmt-031;amrev-cmt-043;amrev-cmt-060,,political-declaration;political-pamphlet
0.841,am-rev-02-people-republic,2,23,26,amrev-cmt-002;amrev-cmt-003;amrev-cmt-004;amrev-cmt-006;amrev-cmt-011;amrev-cmt-014;amrev-cmt-015;amrev-cmt-019;amrev-cmt-020;amrev-cmt-022;amrev-cmt-023;amrev-cmt-040;amrev-cmt-041;amrev-cmt-042;amrev-cmt-045;amrev-cmt-046;amrev-cmt-047;amrev-cmt-048;amrev-cmt-049;amrev-cmt-050;amrev-cmt-051;amrev-cmt-052;amrev-cmt-053;amrev-cmt-056;amrev-cmt-057;amrev-cmt-058,,political-declaration;political-pamphlet
0.8,am-rev-03-founding-sacrifice,1,1,2,amrev-cmt-059;amrev-cmt-061,,political-declaration
0.86,am-rev-04-providence-covenant,1,3,3,amrev-cmt-035;amrev-cmt-036;amrev-cmt-037,,political-pamphlet
0.84,am-rev-05-virtue-corruption,1,1,1,amrev-cmt-027,,political-pamphlet
0.794,am-rev-06-union-founding-memory,2,5,17,amrev-cmt-007;amrev-cmt-008;amrev-cmt-009;amrev-cmt-013;amrev-cmt-016;amrev-cmt-021;amrev-cmt-024;amrev-cmt-028;amrev-cmt-030;amrev-cmt-032;amrev-cmt-033;amrev-cmt-034;amrev-cmt-038;amrev-cmt-039;amrev-cmt-044;amrev-cmt-054;amrev-cmt-055,,political-declaration;political-pamphlet
