average_confidence,cluster_id,document_count,high_salience_count,mapping_count,mapping_ids,periods,registers
0.787,hitler-01-volk-racial-body,7,20,40,hitler-cmt-001;hitler-cmt-002;hitler-cmt-003;hitler-cmt-004;hitler-cmt-005;hitler-cmt-006;hitler-cmt-008;hitler-cmt-009;hitler-cmt-010;hitler-cmt-011;hitler-cmt-012;hitler-cmt-013;hitler-cmt-014;hitler-cmt-015;hitler-cmt-018;hitler-cmt-019;hitler-cmt-020;hitler-cmt-021;hitler-cmt-022;hitler-cmt-023;hitler-cmt-024;hitler-cmt-025;hitler-cmt-026;hitler-cmt-027;hitler-cmt-029;hitler-cmt-030;hitler-cmt-031;hitler-cmt-034;hitler-cmt-035;hitler-cmt-037;hitler-cmt-038;hitler-cmt-040;hitler-cmt-041;hitler-cmt-042;hitler-cmt-043;hitler-cmt-046;hitler-cmt-057;hitler-cmt-059;hitler-cmt-060;hitler-cmt-065,,autobiography-political-polemic;political-speech
0.73,hitler-02-fuhrer-embodiment,4,0,6,hitler-cmt-028;hitler-cmt-036;hitler-cmt-048;hitler-cmt-049;hitler-cmt-054;hitler-cmt-058,,autobiography-political-polemic
0.78,hitler-03-jew-parasite-disease,7,0,16,hitler-cmt-016;hitler-cmt-017;hitler-cmt-039;hitler-cmt-044;hitler-cmt-045;hitler-cmt-047;hitler-cmt-050;hitler-cmt-051;hitler-cmt-052;hitler-cmt-053;hitler-cmt-055;hitler-cmt-056;hitler-cmt-061;hitler-cmt-062;hitler-cmt-063;hitler-cmt-064,,autobiography-political-polemic;political-speech
0.84,hitler-06-sacrifice-martyrdom,1,3,3,hitler-cmt-007;hitler-cmt-032;hitler-cmt-033,,autobiography-political-polemic
