mipvu_id,case_id,document_id,sentence_id,lexical_unit,lemma,decision_type,review_status,contextual_meaning,basic_meaning,confidence,semantic_shift_risk,review_notes,source_path
lincoln-lyceum-address_s01_p03_s01_lu016,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,is,is,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p03_s01_lu017,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p03_s01,selected,selected,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu001,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,In,in,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu002,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu003,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,great,great,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu004,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,journal,journal,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu005,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu006,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,things,things,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu007,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,happening,happening,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s01_lu008,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,under,under,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
